s.no,academic_year,branch_id,branch_name,college_type,sem,college_id,college_code,college_name,venue,college_schedule_type,skill_offering_id,course_name,training_partner_id,training_partner_name,planned_week,session1_date,session1_time,session1_duration,session1_trainer,session1_trainer_profile,session1_head_count,session1_status,session2_date,session2_time,session2_duration,session2_trainer,session2_trainer_profile,session2_head_count,session2_status
1,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
2,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
3,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
4,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
5,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
6,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
7,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
8,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
9,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,9,,,,,,,,,,,,,,
10,2024-2025,37,B.Tech Information Technology,,6,1028,9120,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,PANDIAN SARASWATHI YADAV ENGINEERING COLLEGE,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,10,,,,,,,,,,,,,,
11,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
12,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
13,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
14,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
15,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
16,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
17,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
18,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
19,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,9,,,,,,,,,,,,,,
20,2024-2025,37,B.Tech Information Technology,,6,901,7321,Nandha College of Technology,Nandha College of Technology,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,10,,,,,,,,,,,,,,
21,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
22,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
23,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
24,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
25,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
26,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
27,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
28,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
29,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,9,,,,,,,,,,,,,,
30,2024-2025,37,B.Tech Information Technology,,6,734,6202,Annai mathammal sheela Engineering college ,Annai mathammal sheela Engineering college ,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,10,,,,,,,,,,,,,,
31,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
32,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
33,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
34,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
35,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
36,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
37,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
38,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
39,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,9,,,,,,,,,,,,,,
40,2024-2025,37,B.Tech Information Technology,,6,706,6114,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,MAHENDRA ENGINEERING COLLEGE FOR WOMEN,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,10,,,,,,,,,,,,,,
41,2024-2025,37,B.Tech Information Technology,,6,903,7323,S.S.M. COLLEGE OF ENGINEERING,S.S.M. COLLEGE OF ENGINEERING,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,1,,,,,,,,,,,,,,
42,2024-2025,37,B.Tech Information Technology,,6,903,7323,S.S.M. COLLEGE OF ENGINEERING,S.S.M. COLLEGE OF ENGINEERING,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,2,,,,,,,,,,,,,,
43,2024-2025,37,B.Tech Information Technology,,6,903,7323,S.S.M. COLLEGE OF ENGINEERING,S.S.M. COLLEGE OF ENGINEERING,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,3,,,,,,,,,,,,,,
44,2024-2025,37,B.Tech Information Technology,,6,903,7323,S.S.M. COLLEGE OF ENGINEERING,S.S.M. COLLEGE OF ENGINEERING,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,4,,,,,,,,,,,,,,
45,2024-2025,37,B.Tech Information Technology,,6,903,7323,S.S.M. COLLEGE OF ENGINEERING,S.S.M. COLLEGE OF ENGINEERING,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,5,,,,,,,,,,,,,,
46,2024-2025,37,B.Tech Information Technology,,6,903,7323,S.S.M. COLLEGE OF ENGINEERING,S.S.M. COLLEGE OF ENGINEERING,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,6,,,,,,,,,,,,,,
47,2024-2025,37,B.Tech Information Technology,,6,903,7323,S.S.M. COLLEGE OF ENGINEERING,S.S.M. COLLEGE OF ENGINEERING,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,7,,,,,,,,,,,,,,
48,2024-2025,37,B.Tech Information Technology,,6,903,7323,S.S.M. COLLEGE OF ENGINEERING,S.S.M. COLLEGE OF ENGINEERING,HUB,2938,AI and Green Skills,228,SHELL - EDUNET,8,,,,,,,,,,,,,,
